type,size,doc,inputSplit,reducer,time,memory,data
hadoop,512KB,10doc,10,1,25319,2924929024,2025-05-21 10:15:05
hadoop,1MB,10doc,10,1,26839,2908610560,2025-05-21 10:15:41
hadoop,512MB,10doc,10,1,99683,3096530944,2025-05-21 10:17:29
hadoop,1GB,10doc,14,1,177348,4243341312,2025-05-21 10:20:33
hadoop,2GB,10doc,21,1,229225,6264000512,2025-05-21 16:03:27
hadoop,512KB,10doc,10,5,31834,3440320512,2025-05-21 10:33:47
hadoop,1MB,10doc,10,5,27989,3566776320,2025-05-21 10:34:22
hadoop,512MB,10doc,10,5,123832,3729321984,2025-05-21 10:36:33
hadoop,1GB,10doc,14,5,206762,4895805440,2025-05-21 10:40:06
hadoop,2GB,10doc,21,5,212233,6935109632,2025-05-21 16:07:06
hadoop,512KB,10doc,10,15,44191,4933095424,2025-05-21 10:55:47
hadoop,1MB,10doc,10,15,40410,5166911488,2025-05-21 10:56:34
hadoop,512MB,10doc,10,15,139132,5354135552,2025-05-21 10:59:00
hadoop,1GB,10doc,14,15,245449,6599475200,2025-05-21 11:03:13
hadoop,2GB,10doc,21,15,231205,8730968064,2025-05-21 16:11:04
hadoop,512KB,20doc,20,1,45324,5329850368,2025-05-21 11:19:56
hadoop,1MB,20doc,20,1,31062,5424967680,2025-05-21 11:20:34
hadoop,512MB,20doc,20,1,125606,5846155264,2025-05-21 11:22:47
hadoop,1GB,20doc,20,1,185211,5951827968,2025-05-21 11:25:59
hadoop,2GB,20doc,25,1,253039,7336288256,2025-05-21 16:15:28
hadoop,512KB,20doc,20,5,45399,5960945664,2025-05-21 11:39:09
hadoop,1MB,20doc,20,5,49633,5965619200,2025-05-21 11:40:06
hadoop,512MB,20doc,20,5,125896,6454935552,2025-05-21 11:42:18
hadoop,1GB,20doc,20,5,189775,6563618816,2025-05-21 11:45:35
hadoop,2GB,20doc,25,5,288429,8252469248,2025-05-21 16:20:23
hadoop,512KB,20doc,20,15,64776,7519830016,2025-05-21 11:59:45
hadoop,1MB,20doc,20,15,59261,7555862528,2025-05-21 12:00:51
hadoop,512MB,20doc,20,15,135788,8093007872,2025-05-21 12:03:14
hadoop,1GB,20doc,20,15,204703,8259272704,2025-05-21 12:06:46
