timestamp,engine,size,docSize,numSplits,numReducers,physicalMemorySnapshot,peakMapPhysicalMemory,peakReducePhysicalMemory,aggregateResourceAllocation,jobDurationMs
2025-05-30 09:36:51,hadoop,512KB,10doc,10,1,2851848192,278814720,170754048,49207,26882
2025-05-30 09:37:27,hadoop,1MB,10doc,10,1,2824642560,276381696,171196416,57258,28329
2025-05-30 09:39:41,hadoop,512MB,10doc,10,1,3067019264,289456128,254033920,320030,127277
2025-05-30 09:42:45,hadoop,1GB,10doc,14,1,4217712640,288727040,290471936,482294,176745
2025-05-30 09:48:26,hadoop,2GB,10doc,21,1,6273359872,295063552,277475328,926559,333625
2025-05-30 09:49:00,hadoop,512KB,10doc,10,1,2870235136,275689472,170119168,59951,27407
2025-05-30 09:49:36,hadoop,1MB,10doc,10,1,2825777152,275513344,171839488,57423,28325
2025-05-30 09:52:12,hadoop,512MB,10doc,10,1,3082743808,288702464,270663680,367792,148386
2025-05-30 09:56:02,hadoop,1GB,10doc,14,1,4223246336,286167040,287674368,597940,222068
2025-05-30 10:01:46,hadoop,2GB,10doc,21,1,6232997888,290099200,291696640,957685,336427
2025-05-30 10:02:22,hadoop,512KB,10doc,10,1,2836172800,275279872,171835392,61869,27959
2025-05-30 10:02:56,hadoop,1MB,10doc,10,1,2742923264,274067456,173969408,53193,26321
2025-05-30 10:05:11,hadoop,512MB,10doc,10,1,3093286912,294793216,257658880,324898,128540
2025-05-30 10:08:16,hadoop,1GB,10doc,14,1,4244443136,292630528,290021376,484903,177421
2025-05-30 10:13:40,hadoop,2GB,10doc,21,1,6252916736,293511168,309219328,902894,316423
2025-05-30 10:14:14,hadoop,512KB,10doc,10,1,2840375296,277725184,167813120,49622,26801
2025-05-30 10:14:49,hadoop,1MB,10doc,10,1,2759704576,269828096,170885120,55844,27684
2025-05-30 10:17:23,hadoop,512MB,10doc,10,1,3066351616,286097408,260079616,363507,146524
2025-05-30 10:21:13,hadoop,1GB,10doc,14,1,4244176896,290287616,275267584,611791,223427
2025-05-30 10:26:39,hadoop,2GB,10doc,21,1,6243504128,293711872,294035456,909326,318462
2025-05-30 10:27:14,hadoop,512KB,10doc,10,1,2788487168,275914752,170065920,60188,27141
2025-05-30 10:27:48,hadoop,1MB,10doc,10,1,2866417664,286003200,170594304,54802,26946
2025-05-30 10:29:57,hadoop,512MB,10doc,10,1,3051307008,284348416,247324672,296843,121849
2025-05-30 10:33:47,hadoop,1GB,10doc,14,1,4277424128,294014976,307441664,602698,221722
2025-05-30 10:39:09,hadoop,2GB,10doc,21,1,6292410368,293441536,309989376,886655,313845
2025-05-30 10:39:48,hadoop,512KB,10doc,10,5,3486167040,275927040,171589632,69112,31932
2025-05-30 10:40:29,hadoop,1MB,10doc,10,5,3459375104,274898944,173105152,67589,33282
2025-05-30 10:42:37,hadoop,512MB,10doc,10,5,3746336768,289116160,191672320,329827,120499
2025-05-30 10:45:44,hadoop,1GB,10doc,14,5,4859785216,289595392,190029824,505353,178452
