timestamp,engine,datasetSize,docSize,numSplits,numReducers,physicalMemorySnapshot,peakMapPhysicalMemory,peakReducePhysicalMemory,aggregateResourceAllocation,jobDurationMs
2025-05-30 16:32:49,hadoop,512KB,10doc,10,1,2856673280,277458944,178331648,63861,28717
2025-05-30 16:33:24,hadoop,1MB,10doc,10,1,2877825024,278290432,169803776,55272,27046
2025-05-30 16:34:55,hadoop,512MB,10doc,10,1,2920030208,281935872,271310848,174754,83017
2025-05-30 16:37:32,hadoop,1GB,10doc,14,1,4043845632,278773760,292401152,367454,149818
2025-05-30 16:41:29,hadoop,2GB,10doc,21,1,5849731072,284000256,232382464,533563,228905
2025-05-30 16:42:06,hadoop,512KB,10doc,10,1,2845298688,280342528,167153664,63120,29289
2025-05-30 16:42:41,hadoop,1MB,10doc,10,1,2873995264,278913024,170856448,56760,27704
2025-05-30 16:44:09,hadoop,512MB,10doc,10,1,2986385408,283332608,283414528,176127,80564
2025-05-30 16:46:18,hadoop,1GB,10doc,14,1,3964436480,283410432,276135936,284085,121398
2025-05-30 16:50:20,hadoop,2GB,10doc,21,1,5849141248,284729344,293724160,571586,234743
2025-05-30 16:50:54,hadoop,512KB,10doc,10,1,2858356736,279539712,167538688,49608,26727
2025-05-30 16:51:29,hadoop,1MB,10doc,10,1,2812956672,278401024,173780992,56998,27864
2025-05-30 16:52:59,hadoop,512MB,10doc,10,1,2921762816,282869760,253878272,183765,82134
2025-05-30 16:55:03,hadoop,1GB,10doc,14,1,3985866752,283418624,287158272,287203,116702
2025-05-30 16:59:27,hadoop,2GB,10doc,21,1,5890387968,286855168,297754624,590110,256652
2025-05-30 17:00:01,hadoop,512KB,10doc,10,1,2859515904,278855680,180064256,49626,26789
2025-05-30 17:00:37,hadoop,1MB,10doc,10,1,2861764608,279506944,171122688,58489,28403
2025-05-30 17:02:08,hadoop,512MB,10doc,10,1,2936754176,282345472,258998272,176434,82972
2025-05-30 17:04:51,hadoop,1GB,10doc,14,1,4082520064,280104960,296247296,371566,155973
2025-05-30 17:08:49,hadoop,2GB,10doc,21,1,5942554624,281026560,276439040,548415,230945
2025-05-30 17:09:25,hadoop,512KB,10doc,10,1,2848534528,280141824,172089344,50243,27341
2025-05-30 17:10:01,hadoop,1MB,10doc,10,1,2863255552,278810624,169717760,58099,28873
2025-05-30 17:11:30,hadoop,512MB,10doc,10,1,2966142976,282624000,263589888,176036,81410
2025-05-30 17:14:09,hadoop,1GB,10doc,14,1,4066222080,278138880,315899904,355730,151508
2025-05-30 17:18:32,hadoop,2GB,10doc,21,1,5900890112,283865088,300912640,584055,255662
2025-05-30 17:19:12,hadoop,512KB,10doc,10,5,3595595776,280915968,174403584,71221,31226
2025-05-30 17:19:51,hadoop,1MB,10doc,10,5,3460902912,278810624,172048384,69781,32811
2025-05-30 17:21:28,hadoop,512MB,10doc,10,5,3792240640,282894336,249241600,234134,89006
2025-05-30 17:23:35,hadoop,1GB,10doc,14,5,5201354752,283402240,289116160,316705,119481
2025-05-30 17:27:04,hadoop,2GB,10doc,21,5,7129341952,282259456,329375744,576186,201519
2025-05-30 17:27:43,hadoop,512KB,10doc,10,5,3522469888,280158208,170876928,71352,30907
2025-05-30 17:28:21,hadoop,1MB,10doc,10,5,3526742016,279719936,175857664,67010,30322
