type,size,doc,time,data
python,512KB,10doc,101.2754,2025-05-25 20:40:26
python,1MB,10doc,175.406,2025-05-25 20:40:26
python,512MB,10doc,81996.0284,2025-05-25 20:41:48
python,1GB,10doc,168815.7027,2025-05-25 20:44:37
python,2GB,10doc,308862.0167,2025-05-25 20:49:47
python,512KB,10doc,891.9909,2025-05-25 20:49:48
python,1MB,10doc,421.1392,2025-05-25 20:49:49
python,512MB,10doc,70999.9931,2025-05-25 20:51:00
python,1GB,10doc,141762.0821,2025-05-25 20:53:22
python,2GB,10doc,288917.1247,2025-05-25 20:58:12
python,512KB,10doc,873.8904,2025-05-25 20:58:13
python,1MB,10doc,559.669,2025-05-25 20:58:14
python,512MB,10doc,69549.9392,2025-05-25 20:59:23
python,1GB,10doc,156340.7998,2025-05-25 21:02:00
python,2GB,10doc,291770.5944,2025-05-25 21:06:53
python,512KB,10doc,818.1274,2025-05-25 21:06:54
python,1MB,10doc,425.9529,2025-05-25 21:06:54
python,512MB,10doc,68913.8641,2025-05-25 21:08:04
python,1GB,10doc,140291.5552,2025-05-25 21:10:25
python,2GB,10doc,315838.9609,2025-05-25 21:15:41
python,512KB,10doc,2017.1943,2025-05-25 21:15:44
python,1MB,10doc,376.8039,2025-05-25 21:15:44
python,512MB,10doc,80058.6102,2025-05-25 21:17:04
python,1GB,10doc,200581.1176,2025-05-25 21:20:25
python,2GB,10doc,324471.0903,2025-05-25 21:25:51
python,512KB,20doc,380.2679,2025-05-25 21:35:08
python,1MB,20doc,341.82,2025-05-25 21:35:08
python,512MB,20doc,77921.9923,2025-05-25 21:36:27
python,1GB,20doc,151382.0391,2025-05-25 21:38:59
python,2GB,20doc,320119.556,2025-05-25 21:44:20
python,512KB,20doc,1177.597,2025-05-25 21:44:21
python,1MB,20doc,353.5035,2025-05-25 21:44:21
python,512MB,20doc,96015.2917,2025-05-25 21:45:58
python,1GB,20doc,149539.9384,2025-05-25 21:48:28
python,2GB,20doc,321664.1963,2025-05-25 21:53:51
python,512KB,20doc,1173.063,2025-05-25 21:53:52
python,1MB,20doc,304.039,2025-05-25 21:53:52
