timestamp,engine,datasetSize,docSize,requestedPartitions,realPartitions,driverMaxMemory,exec1MaxMemory,exec1PeakHeap,exec1PeakOffHeap,exec1RSS,exec2MaxMemory,exec2PeakHeap,exec2PeakOffHeap,exec2RSS,aggregateResourceAllocation,jobDurationMs
2025-05-29 18:19:06,spark,512KB,10doc,-1,2,97832140,97832140,0,0,0,97832140,0,0,0,71310,31934
2025-05-29 18:20:24,spark,1MB,10doc,-1,2,97832140,97832140,39022840,79295160,419172352,97832140,18280680,71990520,385224704,80481,38540
2025-05-29 18:23:41,spark,512MB,10doc,-1,5,97832140,97832140,180275688,93571992,436502528,97832140,175704936,94050720,442478592,390445,151568
2025-05-29 18:28:52,spark,1GB,10doc,-1,9,97832140,97832140,180017320,96247712,442765312,97832140,163401864,95657224,445366272,664239,253107
2025-05-29 18:37:15,spark,2GB,10doc,-1,17,97832140,97832140,191279656,99606760,459493376,97832140,196598784,98692976,473616384,1214003,458389
2025-05-29 18:38:38,spark,512KB,10doc,5,5,97832140,97832140,0,0,0,97832140,0,0,0,87967,39308
2025-05-29 18:39:57,spark,1MB,10doc,5,5,97832140,97832140,75695408,89011560,424615936,97832140,153708608,82264928,420737024,87450,38290
2025-05-29 18:43:54,spark,512MB,10doc,5,5,97832140,97832140,254064264,95814440,573960192,97832140,260321368,97684048,554463232,507387,195581
2025-05-29 18:51:20,spark,1GB,10doc,5,5,97832140,97832140,259857824,100059136,535109632,97832140,166785040,80714128,465993728,942111,395629
2025-05-29 19:09:04,spark,2GB,10doc,5,5,97832140,97832140,323830976,101514680,566321152,null,null,null,null,1929128,1018284
2025-05-29 19:10:47,spark,512KB,10doc,15,15,97832140,97832140,38656112,95567896,436473856,97832140,0,0,0,84886,37021
2025-05-29 19:12:08,spark,1MB,10doc,15,15,97832140,97832140,99782064,90482728,424128512,97832140,133407360,97853776,440213504,92030,41052
2025-05-29 19:15:25,spark,512MB,10doc,15,15,97832140,97832140,255899608,98015080,563888128,97832140,267835944,96471312,543272960,401654,157206
2025-05-29 19:22:39,spark,1GB,10doc,15,15,97832140,97832140,288384000,104703840,571629568,97832140,182029168,95107880,457580544,937242,393818
2025-05-29 19:31:49,spark,2GB,10doc,15,15,97832140,97832140,276506400,103179928,657674240,97832140,271112248,104040088,662769664,1322302,497818
2025-05-29 19:33:08,spark,512KB,20doc,-1,2,97832140,97832140,103446888,67152744,368246784,97832140,89337488,85341888,410947584,86987,37897
2025-05-29 19:34:27,spark,1MB,20doc,-1,2,97832140,97832140,164173344,78869208,388530176,97832140,140761808,88891680,421093376,87960,38438
2025-05-29 19:38:05,spark,512MB,20doc,-1,6,97832140,97832140,186487168,94227712,419794944,97832140,164853904,94046944,447926272,439122,171408
